Candidate,Feature_Set,Repeat,Fold,Train_Accuracy,Validation_Accuracy,Validation_Precision,Validation_Recall,Validation_F1,Validation_ROC_AUC,Fit_Time_Seconds,Score_Time_Seconds
Multimodal XGBoost,Multimodal,8,2,1.0,0.8,0.75,0.75,0.75,0.875,0.08125472068786621,0.02593231201171875
Multimodal XGBoost,Multimodal,8,3,1.0,0.5,0.0,0.0,0.0,0.6666666666666667,0.08247041702270508,0.03742337226867676
Multimodal XGBoost,Multimodal,8,4,1.0,0.3333333333333333,0.25,0.25,0.25,0.5,0.0802152156829834,0.02580404281616211
Multimodal XGBoost,Multimodal,8,5,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714,0.8500000000000001,0.07926630973815918,0.030190467834472656
Multimodal XGBoost,Multimodal,9,1,1.0,0.7,0.6666666666666666,0.5,0.5714285714285714,0.875,0.07966184616088867,0.025744915008544922
Multimodal XGBoost,Multimodal,9,2,1.0,0.8,1.0,0.5,0.6666666666666666,0.7916666666666667,0.07593679428100586,0.026731491088867188
Multimodal XGBoost,Multimodal,9,3,1.0,0.7,0.6,0.75,0.6666666666666666,0.7500000000000001,0.07428312301635742,0.026974916458129883
Multimodal XGBoost,Multimodal,9,4,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714,0.7000000000000001,0.07731103897094727,0.03209948539733887
Multimodal XGBoost,Multimodal,9,5,1.0,0.7777777777777778,0.75,0.75,0.75,0.8500000000000001,0.09564399719238281,0.028162002563476562
Multimodal XGBoost,Multimodal,10,1,1.0,0.6,0.5,0.5,0.5,0.7083333333333334,0.07329249382019043,0.02746748924255371
Multimodal XGBoost,Multimodal,10,2,1.0,0.6,0.5,0.25,0.3333333333333333,0.8333333333333334,0.0723257064819336,0.02547931671142578
Multimodal XGBoost,Multimodal,10,3,1.0,0.6,0.5,0.25,0.3333333333333333,0.6666666666666667,0.07053565979003906,0.026458024978637695
Multimodal XGBoost,Multimodal,10,4,1.0,0.4444444444444444,0.42857142857142855,0.75,0.5454545454545454,0.5,0.07245016098022461,0.024574995040893555
Multimodal XGBoost,Multimodal,10,5,1.0,0.7777777777777778,1.0,0.5,0.6666666666666666,1.0,0.06695032119750977,0.032000064849853516
