Candidate,Feature_Set,Repeat,Fold,Train_Accuracy,Validation_Accuracy,Validation_Precision,Validation_Recall,Validation_F1,Validation_ROC_AUC,Fit_Time_Seconds,Score_Time_Seconds
Clinical Logistic Regression,Clinical,5,4,1.0,0.8888888888888888,0.8,1.0,0.8888888888888888,0.9500000000000001,0.012231111526489258,0.014541149139404297
Clinical Logistic Regression,Clinical,5,5,1.0,0.7777777777777778,0.75,0.75,0.75,0.9,0.012030839920043945,0.014570474624633789
Clinical Logistic Regression,Clinical,6,1,1.0,0.7,0.6,0.75,0.6666666666666666,0.7083333333333333,0.01325845718383789,0.014368772506713867
Clinical Logistic Regression,Clinical,6,2,0.9736842105263158,0.8,0.75,0.75,0.75,0.8333333333333334,0.014198780059814453,0.013494491577148438
Clinical Logistic Regression,Clinical,6,3,0.9736842105263158,1.0,1.0,1.0,1.0,1.0,0.012725591659545898,0.012529611587524414
Clinical Logistic Regression,Clinical,6,4,1.0,0.8888888888888888,0.8,1.0,0.8888888888888888,0.8500000000000001,0.013824701309204102,0.017360448837280273
Clinical Logistic Regression,Clinical,6,5,1.0,0.4444444444444444,0.4,0.5,0.4444444444444444,0.5,0.013914823532104492,0.01553964614868164
Clinical Logistic Regression,Clinical,7,1,1.0,0.5,0.3333333333333333,0.25,0.2857142857142857,0.7083333333333333,0.011794567108154297,0.015557527542114258
Clinical Logistic Regression,Clinical,7,2,1.0,0.5,0.4,0.5,0.4444444444444444,0.7083333333333334,0.012466192245483398,0.014840364456176758
Clinical Logistic Regression,Clinical,7,3,0.9736842105263158,0.9,1.0,0.75,0.8571428571428571,0.75,0.011595010757446289,0.014199256896972656
Clinical Logistic Regression,Clinical,7,4,1.0,0.7777777777777778,0.6666666666666666,1.0,0.8,0.65,0.013512372970581055,0.013971328735351562
Clinical Logistic Regression,Clinical,7,5,1.0,0.8888888888888888,0.8,1.0,0.8888888888888888,0.9,0.013116836547851562,0.015616416931152344
Clinical Logistic Regression,Clinical,8,1,1.0,0.8,0.75,0.75,0.75,0.9583333333333334,0.011681318283081055,0.015196084976196289
Clinical Logistic Regression,Clinical,8,2,1.0,0.8,0.75,0.75,0.75,0.75,0.011749744415283203,0.013057231903076172
Clinical Logistic Regression,Clinical,8,3,1.0,0.7,0.6666666666666666,0.5,0.5714285714285714,0.7083333333333334,0.011302709579467773,0.014675140380859375
Clinical Logistic Regression,Clinical,8,4,1.0,0.4444444444444444,0.3333333333333333,0.25,0.2857142857142857,0.5,0.011515617370605469,0.015496492385864258
Clinical Logistic Regression,Clinical,8,5,1.0,0.6666666666666666,0.6,0.75,0.6666666666666666,0.85,0.012722969055175781,0.015614748001098633
Clinical Logistic Regression,Clinical,9,1,0.9736842105263158,0.8,0.75,0.75,0.75,0.8333333333333333,0.011782169342041016,0.015222787857055664
Clinical Logistic Regression,Clinical,9,2,1.0,0.7,0.6,0.75,0.6666666666666666,0.7083333333333334,0.012166023254394531,0.015163183212280273
Clinical Logistic Regression,Clinical,9,3,1.0,0.9,0.8,1.0,0.8888888888888888,1.0,0.01227426528930664,0.01434779167175293
Clinical Logistic Regression,Clinical,9,4,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714,0.65,0.01213383674621582,0.014393806457519531
Clinical Logistic Regression,Clinical,9,5,0.9743589743589743,0.7777777777777778,0.6666666666666666,1.0,0.8,0.9,0.011689424514770508,0.0139617919921875
Clinical Logistic Regression,Clinical,10,1,1.0,0.6,0.5,0.5,0.5,0.7500000000000001,0.012770891189575195,0.015968799591064453
