Candidate,Feature_Set,Model_Stage,Repeat,Fold,Train_Accuracy,Validation_Accuracy,Validation_Precision,Validation_Recall,Validation_F1,Validation_ROC_AUC,Fit_Time_Seconds,Score_Time_Seconds
Clinical Support Vector Machine,Clinical,Tuned,3,3,0.5789473684210527,0.6,0.0,0.0,0.0,0.7916666666666666,0.009226799011230469,0.015317678451538086
Clinical Support Vector Machine,Clinical,Tuned,3,4,0.41025641025641024,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,1.0,0.008665800094604492,0.015537500381469727
Clinical Support Vector Machine,Clinical,Tuned,3,5,0.41025641025641024,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,0.7,0.009396553039550781,0.0149078369140625
Clinical Support Vector Machine,Clinical,Tuned,4,1,0.5789473684210527,0.6,0.0,0.0,0.0,0.75,0.00899648666381836,0.0147247314453125
Clinical Support Vector Machine,Clinical,Tuned,4,2,0.5789473684210527,0.6,0.0,0.0,0.0,0.9166666666666667,0.009063005447387695,0.015973806381225586
Clinical Support Vector Machine,Clinical,Tuned,4,3,0.5789473684210527,0.6,0.0,0.0,0.0,0.875,0.008877038955688477,0.015350818634033203
Clinical Support Vector Machine,Clinical,Tuned,4,4,0.41025641025641024,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,0.8,0.008572101593017578,0.01484227180480957
Clinical Support Vector Machine,Clinical,Tuned,4,5,0.41025641025641024,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,0.9,0.009233951568603516,0.016337871551513672
Clinical Support Vector Machine,Clinical,Tuned,5,1,0.5789473684210527,0.6,0.0,0.0,0.0,0.9166666666666667,0.00860595703125,0.016927719116210938
Clinical Support Vector Machine,Clinical,Tuned,5,2,0.5789473684210527,0.6,0.0,0.0,0.0,0.5416666666666667,0.009702682495117188,0.014763355255126953
Clinical Support Vector Machine,Clinical,Tuned,5,3,0.5789473684210527,0.6,0.0,0.0,0.0,0.875,0.010416746139526367,0.016089439392089844
Clinical Support Vector Machine,Clinical,Tuned,5,4,0.41025641025641024,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,0.9,0.00959014892578125,0.016223907470703125
Clinical Support Vector Machine,Clinical,Tuned,5,5,0.41025641025641024,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154,0.9500000000000001,0.009289741516113281,0.019005537033081055
Clinical Support Vector Machine,Clinical,Tuned,6,1,0.5789473684210527,0.6,0.0,0.0,0.0,0.7083333333333333,0.008479118347167969,0.014249086380004883
Clinical Support Vector Machine,Clinical,Tuned,6,2,0.5789473684210527,0.6,0.0,0.0,0.0,0.9166666666666667,0.008917093276977539,0.016677379608154297
