Candidate,Feature_Set,Model_Stage,Repeat,Fold,Train_Accuracy,Validation_Accuracy,Validation_Precision,Validation_Recall,Validation_F1,Validation_ROC_AUC,Fit_Time_Seconds,Score_Time_Seconds
Multimodal XGBoost,Multimodal,Tuned,4,2,0.5789473684210527,0.6,0.0,0.0,0.0,0.8541666666666667,0.038950443267822266,0.030049562454223633
Multimodal XGBoost,Multimodal,Tuned,4,3,0.5789473684210527,0.6,0.0,0.0,0.0,0.9583333333333334,0.03504467010498047,0.024368762969970703
Multimodal XGBoost,Multimodal,Tuned,4,4,0.5897435897435898,0.5555555555555556,0.0,0.0,0.0,0.6499999999999999,0.037106990814208984,0.03341555595397949
Multimodal XGBoost,Multimodal,Tuned,4,5,0.5897435897435898,0.5555555555555556,0.0,0.0,0.0,0.85,0.04216909408569336,0.024541378021240234
Multimodal XGBoost,Multimodal,Tuned,5,1,0.5789473684210527,0.6,0.0,0.0,0.0,0.9583333333333334,0.036359310150146484,0.024437665939331055
Multimodal XGBoost,Multimodal,Tuned,5,2,0.8947368421052632,0.4,0.375,0.75,0.5,0.4791666666666667,0.038865089416503906,0.02584362030029297
Multimodal XGBoost,Multimodal,Tuned,5,3,0.5789473684210527,0.6,0.0,0.0,0.0,0.9166666666666666,0.035712242126464844,0.02296161651611328
Multimodal XGBoost,Multimodal,Tuned,5,4,0.5897435897435898,0.5555555555555556,0.0,0.0,0.0,0.8500000000000001,0.03672528266906738,0.02984929084777832
Multimodal XGBoost,Multimodal,Tuned,5,5,0.5897435897435898,0.5555555555555556,0.0,0.0,0.0,0.8,0.03704237937927246,0.028359651565551758
Multimodal XGBoost,Multimodal,Tuned,6,1,0.868421052631579,0.5,0.42857142857142855,0.75,0.5454545454545454,0.6875,0.03856396675109863,0.024692535400390625
Multimodal XGBoost,Multimodal,Tuned,6,2,0.5789473684210527,0.6,0.0,0.0,0.0,0.9375,0.03636479377746582,0.02562713623046875
Multimodal XGBoost,Multimodal,Tuned,6,3,0.5789473684210527,0.6,0.0,0.0,0.0,1.0,0.032532453536987305,0.024289369583129883
Multimodal XGBoost,Multimodal,Tuned,6,4,0.5897435897435898,0.5555555555555556,0.0,0.0,0.0,0.925,0.03513360023498535,0.02394247055053711
Multimodal XGBoost,Multimodal,Tuned,6,5,0.5897435897435898,0.5555555555555556,0.0,0.0,0.0,0.55,0.03574967384338379,0.024923324584960938
Multimodal XGBoost,Multimodal,Tuned,7,1,0.5789473684210527,0.6,0.0,0.0,0.0,0.8333333333333334,0.0400846004486084,0.024587631225585938
Multimodal XGBoost,Multimodal,Tuned,7,2,0.5789473684210527,0.6,0.0,0.0,0.0,0.8125,0.04928255081176758,0.025905609130859375
Multimodal XGBoost,Multimodal,Tuned,7,3,0.5789473684210527,0.6,0.0,0.0,0.0,0.8333333333333334,0.04071807861328125,0.02386307716369629
Multimodal XGBoost,Multimodal,Tuned,7,4,0.5897435897435898,0.5555555555555556,0.0,0.0,0.0,0.725,0.037709951400756836,0.026655197143554688
Multimodal XGBoost,Multimodal,Tuned,7,5,0.5897435897435898,0.5555555555555556,0.0,0.0,0.0,0.9750000000000001,0.03497052192687988,0.024214982986450195
Multimodal XGBoost,Multimodal,Tuned,8,1,0.5789473684210527,0.6,0.0,0.0,0.0,1.0,0.03393149375915527,0.024729490280151367
Multimodal XGBoost,Multimodal,Tuned,8,2,0.5789473684210527,0.6,0.0,0.0,0.0,0.8125,0.0338587760925293,0.024585723876953125
Multimodal XGBoost,Multimodal,Tuned,8,3,0.5789473684210527,0.6,0.0,0.0,0.0,0.7500000000000001,0.037091732025146484,0.023689746856689453
Multimodal XGBoost,Multimodal,Tuned,8,4,0.7692307692307693,0.4444444444444444,0.0,0.0,0.0,0.5,0.04688739776611328,0.027055025100708008
Multimodal XGBoost,Multimodal,Tuned,8,5,0.5897435897435898,0.5555555555555556,0.0,0.0,0.0,0.775,0.037827253341674805,0.023876428604125977
Multimodal XGBoost,Multimodal,Tuned,9,1,0.5789473684210527,0.6,0.0,0.0,0.0,0.8125,0.03756904602050781,0.028458595275878906
Multimodal XGBoost,Multimodal,Tuned,9,2,0.5789473684210527,0.6,0.0,0.0,0.0,0.8125,0.03729748725891113,0.025572538375854492
Multimodal XGBoost,Multimodal,Tuned,9,3,0.5789473684210527,0.6,0.0,0.0,0.0,0.7916666666666667,0.037171363830566406,0.025356054306030273
Multimodal XGBoost,Multimodal,Tuned,9,4,0.5897435897435898,0.5555555555555556,0.0,0.0,0.0,0.625,0.03874397277832031,0.02541065216064453
Multimodal XGBoost,Multimodal,Tuned,9,5,0.5897435897435898,0.5555555555555556,0.0,0.0,0.0,0.7250000000000001,0.033834218978881836,0.023869752883911133
Multimodal XGBoost,Multimodal,Tuned,10,1,0.5789473684210527,0.6,0.0,0.0,0.0,0.7083333333333333,0.048293113708496094,0.044428348541259766
Multimodal XGBoost,Multimodal,Tuned,10,2,0.5789473684210527,0.6,0.0,0.0,0.0,0.875,0.06852507591247559,0.04451608657836914
Multimodal XGBoost,Multimodal,Tuned,10,3,0.5789473684210527,0.6,0.0,0.0,0.0,0.7916666666666666,0.06948113441467285,0.04583430290222168
Multimodal XGBoost,Multimodal,Tuned,10,4,0.8461538461538461,0.4444444444444444,0.42857142857142855,0.75,0.5454545454545454,0.475,0.07025742530822754,0.044426918029785156
Multimodal XGBoost,Multimodal,Tuned,10,5,0.5897435897435898,0.5555555555555556,0.0,0.0,0.0,0.95,0.07229232788085938,0.04556727409362793
